object-id,district,timeperiod,risk-score,topsis-score,flood-hazard,exposure,vulnerability,government-response,max-temp,mean-rain,mean-ndvi,sum-population,total-hhd,forest-cover-pct,mean-sex-ratio,sum-aged-population,poverty-rate,fire-stations-count,emergency-budget,response-personnel
01,CONCEPCIÓN,2025_06,4,0.5043,2,3,3,3,41.8,3.83,0.436,2180218,378900,44.2,983.4,164133,29.1,44,32326.1,1711
01,CONCEPCIÓN,2025_07,2,0.5743,2,3,3,3,39.7,5.22,0.453,2045599,560106,48.5,987.1,217874,27.8,34,38896.4,1660
01,CONCEPCIÓN,2025_08,3,0.4613,3,3,3,3,42.0,4.3,0.342,1866828,570942,39.7,1012.9,169543,24.4,41,37368.4,1641
01,CONCEPCIÓN,2025_09,3,0.4441,3,3,3,3,41.8,4.72,0.456,1811549,524309,50.4,992.2,208275,23.6,50,34278.9,1128
01,CONCEPCIÓN,2025_10,3,0.5035,3,3,3,3,41.6,4.71,0.448,1913114,407285,51.0,1007.0,140156,32.6,54,36348.1,1553
01,CONCEPCIÓN,2025_11,3,0.5786,3,3,2,3,41.1,5.43,0.474,1722662,384399,52.1,995.7,172695,27.8,40,40317.8,1277
01,CONCEPCIÓN,2025_12,3,0.5308,3,3,3,3,40.9,4.05,0.448,2033328,364493,51.2,993.9,131140,28.7,29,28276.7,1454
01,CONCEPCIÓN,2026_01,3,0.4174,4,3,3,3,41.0,3.63,0.453,2002805,402059,42.3,1004.4,199319,25.5,46,49657.9,1340
01,CONCEPCIÓN,2026_02,3,0.4464,3,3,3,2,41.8,4.97,0.49,1572531,613663,34.3,1006.1,187780,26.2,46,29694.7,2058
01,CONCEPCIÓN,2026_03,2,0.6376,3,3,3,3,42.0,4.0,0.392,1435798,588895,46.5,1004.9,220438,30.0,57,38703.6,1875
01-01,CONCEPCIÓN,2025_04,4,0.6692,1,3,4,1,40.2,2.7,0.339,57097,69099,63.7,1031.6,9351,12.6,4,2035.5,201
01-01,CONCEPCIÓN,2025_05,1,0.7344,4,1,4,1,37.2,1.55,0.198,101212,53698,3.8,1023.1,9660,19.7,2,1895.5,120
01-01,CONCEPCIÓN,2025_06,5,0.1777,1,3,2,2,38.6,7.17,0.64,229228,59685,30.2,979.9,11910,18.5,6,103.2,144
01-01,CONCEPCIÓN,2025_07,2,0.3281,2,4,1,3,30.7,6.97,0.478,215089,41171,54.3,1010.7,14311,31.5,3,3635.2,141
01-01,CONCEPCIÓN,2025_08,1,0.5368,3,5,5,1,32.0,2.31,0.162,111847,29736,82.6,1003.2,8572,21.3,1,4013.9,101
01-01,CONCEPCIÓN,2025_09,1,0.8717,2,4,5,1,40.1,1.27,0.595,161207,27800,77.6,1012.1,22589,19.6,1,4719.9,19
01-01,CONCEPCIÓN,2025_10,2,0.1721,2,3,3,3,39.6,4.85,0.508,243092,5863,42.9,981.1,12743,39.3,6,3783.8,126
01-01,CONCEPCIÓN,2025_11,2,0.8978,1,4,2,4,32.9,6.91,0.735,117883,10160,57.7,984.4,1773,19.4,1,2006.7,118
01-01,CONCEPCIÓN,2025_12,4,0.9112,4,5,3,5,37.2,5.15,0.596,190616,17880,25.3,1012.2,15760,16.7,0,2955.0,122
01-01,CONCEPCIÓN,2026_01,3,0.3792,4,5,1,2,28.4,4.84,0.351,177640,3634,81.3,1004.6,20516,43.3,2,4512.7,54
01-01,CONCEPCIÓN,2026_02,5,0.8869,5,2,4,5,34.3,4.57,0.724,63747,51441,35.3,972.3,17938,28.8,6,2540.9,151
01-01,CONCEPCIÓN,2026_03,4,0.6121,1,5,4,5,33.9,4.52,0.197,79861,16517,48.4,968.7,19189,9.5,5,4497.8,75
01-02,BELÉN,2025_04,1,0.1213,3,2,2,2,38.3,5.41,0.685,24790,55802,4.7,951.2,7673,28.2,0,2815.0,185
01-02,BELÉN,2025_05,5,0.4566,4,5,3,1,38.6,1.28,0.404,74842,20879,20.5,1031.6,3399,11.7,0,1807.7,90
01-02,BELÉN,2025_06,5,0.3248,1,4,5,1,41.6,3.03,0.481,219423,47900,51.7,1024.5,1551,34.5,6,1461.2,22
01-02,BELÉN,2025_07,2,0.8365,4,3,4,3,30.3,2.84,0.552,185977,9858,54.4,960.5,23942,17.8,3,1909.7,165
01-02,BELÉN,2025_08,5,0.2867,3,1,2,1,39.3,3.21,0.19,241373,41745,20.3,999.9,21114,26.4,2,715.4,192
01-02,BELÉN,2025_09,5,0.5581,5,4,5,4,33.1,7.98,0.233,131372,12415,67.0,1043.3,5058,33.1,6,3408.8,154
01-02,BELÉN,2025_10,1,0.4271,5,4,5,3,41.6,6.89,0.157,190932,15514,60.6,1004.4,8793,38.7,2,575.5,113
01-02,BELÉN,2025_11,2,0.4857,3,5,2,5,40.8,6.96,0.329,169496,67040,54.4,958.3,5343,29.6,6,4613.7,2
01-02,BELÉN,2025_12,5,0.3755,1,1,3,3,31.4,1.93,0.49,22645,11726,64.9,1037.9,24973,29.3,1,659.4,123
01-02,BELÉN,2026_01,5,0.2404,5,5,4,2,41.0,6.04,0.564,188895,41357,36.3,1020.6,12286,25.5,4,2268.4,65
01-02,BELÉN,2026_02,2,0.1544,1,5,5,2,36.2,0.06,0.575,17433,30507,7.8,943.8,10877,10.8,1,1406.8,126
01-02,BELÉN,2026_03,2,0.5583,5,5,4,2,39.0,6.46,0.264,27409,56998,32.5,989.3,23940,10.2,5,4921.1,27
01-03,HORQUETA,2025_04,4,0.8247,4,1,2,4,38.6,2.72,0.197,178070,12415,74.7,1057.8,4866,41.3,6,786.9,103
01-03,HORQUETA,2025_05,1,0.2135,2,2,2,5,33.8,6.85,0.733,33618,35832,2.2,1032.6,20890,19.5,2,1503.8,39
01-03,HORQUETA,2025_06,3,0.7275,2,2,3,2,28.3,1.85,0.229,186145,7804,3.3,951.6,4290,25.9,4,873.1,170
01-03,HORQUETA,2025_07,2,0.325,2,3,1,5,39.7,4.54,0.578,63167,44494,21.8,959.4,10624,46.9,0,3188.4,126
01-03,HORQUETA,2025_08,4,0.2562,3,5,3,4,38.3,6.4,0.322,237827,60046,41.4,1052.1,7112,23.0,2,37.3,50
01-03,HORQUETA,2025_09,1,0.6456,1,5,1,4,31.4,7.44,0.376,35779,64090,83.6,1049.2,23686,46.8,3,2360.0,187
01-03,HORQUETA,2025_10,2,0.4582,4,2,4,2,36.2,2.33,0.637,177246,62194,62.9,1043.8,6455,29.8,5,927.9,78
01-03,HORQUETA,2025_11,2,0.9044,2,1,3,4,30.3,1.28,0.262,44104,69978,75.5,963.6,23666,39.5,1,2510.5,85
01-03,HORQUETA,2025_12,2,0.7136,2,3,5,1,33.4,3.88,0.166,154280,38677,81.1,1038.2,1438,43.1,5,497.6,73
01-03,HORQUETA,2026_01,3,0.1632,3,3,2,2,36.3,1.24,0.637,103677,58535,60.1,1002.7,21186,30.7,4,3537.0,180
01-03,HORQUETA,2026_02,3,0.1294,4,2,5,2,30.8,7.64,0.317,94383,26288,75.9,1006.3,23885,43.4,6,1186.8,185
01-03,HORQUETA,2026_03,5,0.4798,5,3,5,1,38.2,6.45,0.516,91219,32259,67.6,1009.5,24448,18.7,4,2421.4,148
01-04,LORETO,2025_04,2,0.6143,5,2,1,5,37.4,3.92,0.46,188685,61984,40.9,1007.6,16710,44.3,1,1294.7,57
01-04,LORETO,2025_05,4,0.396,4,5,4,5,37.6,7.97,0.418,68489,66327,18.1,1023.5,450,42.9,0,2858.0,114
01-04,LORETO,2025_06,1,0.8645,3,4,3,5,41.8,0.13,0.637,52960,28822,35.1,1042.9,23866,34.3,0,4179.7,99
01-04,LORETO,2025_07,4,0.75,5,1,3,1,35.5,7.25,0.26,79011,53677,28.5,1013.1,3950,33.6,3,417.1,204
01-04,LORETO,2025_08,3,0.1475,3,2,2,1,33.2,4.56,0.533,124993,11745,70.5,954.2,21469,41.2,0,1835.6,133
01-04,LORETO,2025_09,1,0.7028,4,5,1,1,31.9,3.52,0.179,115300,40513,26.2,971.4,11424,35.3,4,343.3,27
01-04,LORETO,2025_10,5,0.7465,5,3,2,4,35.8,7.09,0.75,186371,10021,55.5,1022.3,14271,39.6,4,2990.7,7
01-04,LORETO,2025_11,5,0.5255,4,1,4,5,29.0,7.69,0.325,227479,11080,38.9,1016.6,23725,23.5,0,2395.0,121
01-04,LORETO,2025_12,2,0.81,3,2,1,4,40.4,3.75,0.484,9811,45364,65.7,1029.3,11343,30.2,2,4994.7,4
01-04,LORETO,2026_01,3,0.6296,4,4,5,3,37.8,1.41,0.749,10777,30708,7.0,950.0,2163,37.9,4,4326.9,25
01-04,LORETO,2026_02,4,0.3954,5,5,4,2,38.8,5.49,0.516,168112,61873,38.1,1017.4,3344,32.4,4,4827.0,90
01-04,LORETO,2026_03,5,0.8924,2,3,1,5,36.0,0.66,0.232,227758,53389,22.0,971.5,20456,41.4,1,2226.5,194
01-05,SAN CARLOS DEL APA,2025_04,2,0.2858,5,5,3,1,33.5,5.62,0.536,131296,56626,2.7,1025.9,11657,8.8,5,152.0,11
01-05,SAN CARLOS DEL APA,2025_05,3,0.8068,1,5,1,5,31.1,3.33,0.523,96557,6785,61.5,1010.9,16598,41.2,2,4918.0,96
01-05,SAN CARLOS DEL APA,2025_06,4,0.8889,3,1,5,5,38.5,6.2,0.657,70484,28180,37.9,987.1,12233,8.5,1,2989.2,194
01-05,SAN CARLOS DEL APA,2025_07,5,0.6185,1,4,4,1,36.1,6.1,0.453,196504,41197,54.6,1004.4,13585,27.7,2,3057.4,62
01-05,SAN CARLOS DEL APA,2025_08,2,0.8119,1,4,4,3,35.9,7.65,0.206,33168,63183,39.4,979.9,813,46.8,5,3955.3,73
01-05,SAN CARLOS DEL APA,2025_09,2,0.8019,3,2,1,3,39.5,2.84,0.714,227358,17837,78.8,1014.5,1768,36.6,1,4119.7,102
01-05,SAN CARLOS DEL APA,2025_10,1,0.8711,5,1,2,4,34.9,4.44,0.415,96389,52356,42.6,984.1,6714,38.9,2,4713.6,82
01-05,SAN CARLOS DEL APA,2025_11,2,0.3199,4,3,2,5,41.1,3.97,0.461,46769,7934,41.4,945.4,23485,9.0,3,2708.1,2
01-05,SAN CARLOS DEL APA,2025_12,1,0.1026,2,1,5,2,39.9,2.06,0.208,203440,53586,2.8,1022.2,855,31.1,2,2455.5,135
01-05,SAN CARLOS DEL APA,2026_01,5,0.7856,3,1,4,4,29.2,0.15,0.678,70349,41450,24.9,1011.9,9247,16.9,4,1458.9,173
01-05,SAN CARLOS DEL APA,2026_02,4,0.7099,4,2,2,2,41.8,5.52,0.679,36664,57061,11.0,980.9,21289,39.7,0,863.5,99
01-05,SAN CARLOS DEL APA,2026_03,1,0.7338,2,5,3,4,33.0,2.65,0.235,25860,42058,34.9,1000.9,13180,44.1,6,4890.1,149
01-06,SAN LÁZARO,2025_04,1,0.4422,3,1,2,2,30.7,3.59,0.403,75018,61137,23.5,1050.8,14570,40.3,6,2760.6,14
01-06,SAN LÁZARO,2025_05,5,0.8106,1,2,2,4,34.8,1.71,0.391,17370,22079,34.6,1058.2,8740,45.1,6,2285.9,110
01-06,SAN LÁZARO,2025_06,5,0.6626,4,2,2,3,31.0,0.47,0.591,17979,41604,6.9,1010.1,16527,44.8,4,804.0,132
01-06,SAN LÁZARO,2025_07,1,0.8236,1,5,1,2,33.7,7.53,0.492,153760,5709,55.3,990.3,19175,30.6,2,4674.8,54
01-06,SAN LÁZARO,2025_08,3,0.3029,4,2,3,4,32.4,6.01,0.194,122136,13604,8.3,965.6,8740,13.3,2,4406.7,64
01-06,SAN LÁZARO,2025_09,3,0.3422,4,5,3,5,41.8,6.46,0.467,177076,39740,82.1,952.4,4450,18.6,0,3717.2,41
01-06,SAN LÁZARO,2025_10,3,0.3395,2,3,2,3,35.1,2.01,0.695,15316,12597,56.5,1039.5,1494,8.1,6,671.5,69
01-06,SAN LÁZARO,2025_11,2,0.73,5,4,5,1,29.6,7.56,0.565,41073,5222,73.8,1009.9,4902,25.2,0,1555.1,205
01-06,SAN LÁZARO,2025_12,1,0.8641,2,2,1,3,38.9,7.07,0.394,164702,20757,81.6,968.4,5374,47.0,6,901.7,107
01-06,SAN LÁZARO,2026_01,1,0.2525,3,4,2,3,30.2,5.61,0.38,12151,62194,21.1,1038.0,15133,22.0,6,3980.8,60
01-06,SAN LÁZARO,2026_02,2,0.1201,2,4,3,3,40.1,7.74,0.317,170160,67268,36.4,1057.7,17620,21.2,0,594.4,68
01-06,SAN LÁZARO,2026_03,2,0.5935,3,1,1,5,34.1,5.83,0.338,160914,67533,11.9,1047.9,6278,18.2,5,2191.6,135
01-07,YBY YAÚ,2025_04,5,0.6838,2,3,4,1,41.3,7.37,0.524,175903,16834,63.9,976.0,10184,34.7,2,2024.0,77
01-07,YBY YAÚ,2025_05,5,0.2082,4,4,2,5,36.0,3.25,0.65,81658,38106,20.1,1034.3,19929,34.2,3,2220.1,174
01-07,YBY YAÚ,2025_06,2,0.5345,2,1,3,5,37.3,4.95,0.206,198906,31284,59.9,967.0,6575,13.9,0,1239.3,123
01-07,YBY YAÚ,2025_07,5,0.8223,1,4,4,5,30.7,5.57,0.447,65959,19842,58.4,940.7,24657,42.4,0,3896.5,58
01-07,YBY YAÚ,2025_08,2,0.7835,5,4,1,5,31.5,6.79,0.424,212086,61401,59.4,1058.5,19561,20.7,6,4459.3,158
01-07,YBY YAÚ,2025_09,5,0.4627,5,4,2,4,34.3,6.01,0.654,74695,68827,43.7,968.7,14463,11.1,2,1187.8,87
01-07,YBY YAÚ,2025_10,3,0.8591,1,2,2,2,33.4,1.22,0.278,110755,53924,30.5,995.9,2090,16.3,3,1959.6,199
01-07,YBY YAÚ,2025_11,5,0.9042,1,5,4,4,28.1,2.81,0.602,225726,55421,48.3,1028.2,19817,43.9,3,1112.7,113
01-07,YBY YAÚ,2025_12,4,0.1247,3,4,2,4,40.9,7.85,0.47,239745,52145,52.9,1019.6,2800,33.7,1,4336.9,48
01-07,YBY YAÚ,2026_01,1,0.3211,3,2,4,3,32.7,7.04,0.317,220083,55755,23.7,949.8,685,38.0,0,4999.5,91
01-07,YBY YAÚ,2026_02,2,0.6526,1,1,2,2,39.7,4.97,0.293,126141,15493,50.5,966.2,22970,18.2,2,855.6,157
01-07,YBY YAÚ,2026_03,1,0.7611,2,3,1,5,28.4,2.5,0.556,100384,52490,83.0,963.8,19451,35.6,5,1229.4,180
01-08,AZOTE'Y,2025_04,3,0.8227,5,1,5,1,32.9,3.43,0.372,134634,45225,3.1,990.4,16112,12.2,2,3185.2,214
01-08,AZOTE'Y,2025_05,4,0.7012,4,2,5,3,36.6,7.36,0.615,123863,57591,73.0,1011.1,10611,42.1,6,4674.4,73
01-08,AZOTE'Y,2025_06,4,0.3073,4,5,5,4,32.7,3.95,0.345,129808,28302,32.5,971.0,9213,43.2,5,4402.9,144
01-08,AZOTE'Y,2025_07,1,0.5391,2,1,2,4,34.8,6.07,0.564,171319,64832,40.5,942.1,9691,16.9,5,1231.7,171
01-08,AZOTE'Y,2025_08,5,0.4137,5,5,3,4,42.0,4.4,0.361,120946,36009,28.4,967.7,23685,15.7,0,3719.5,197
01-08,AZOTE'Y,2025_09,2,0.2628,4,3,5,5,36.4,7.84,0.65,79659,30316,33.0,976.3,23250,29.4,2,246.7,15
01-08,AZOTE'Y,2025_10,5,0.3483,2,4,1,1,36.0,3.76,0.414,50329,7234,23.7,1043.4,3788,40.9,3,2468.9,149
01-08,AZOTE'Y,2025_11,1,0.229,5,3,1,2,29.7,6.12,0.514,209287,30081,68.7,985.6,14557,19.9,4,4950.4,80
01-08,AZOTE'Y,2025_12,5,0.6279,5,1,2,2,31.7,0.65,0.294,146701,10338,15.5,989.0,22639,31.8,2,182.5,75
01-08,AZOTE'Y,2026_01,3,0.6975,4,1,2,3,39.0,5.0,0.547,246755,26428,38.6,1005.3,21271,14.0,2,4136.6,20
01-08,AZOTE'Y,2026_02,1,0.241,3,5,5,3,34.1,3.75,0.332,107515,36183,45.0,999.3,2685,31.9,3,3678.0,156
01-08,AZOTE'Y,2026_03,3,0.122,2,5,5,1,42.0,5.38,0.312,12546,23462,42.5,1018.2,9164,15.3,4,2190.7,210
01-09,SARGENTO JOSÉ FÉLIX LÓPEZ,2025_04,4,0.9237,4,3,4,3,32.5,0.84,0.246,109910,65442,26.8,1053.4,24970,30.0,3,458.5,66
01-09,SARGENTO JOSÉ FÉLIX LÓPEZ,2025_05,3,0.1985,4,5,1,5,34.5,0.43,0.461,165219,65838,55.8,1031.2,6720,18.7,1,4639.8,114
01-09,SARGENTO JOSÉ FÉLIX LÓPEZ,2025_06,4,0.2032,5,2,2,3,35.7,4.42,0.206,222569,15371,41.7,954.1,5095,27.9,5,1473.5,182
01-09,SARGENTO JOSÉ FÉLIX LÓPEZ,2025_07,3,0.4532,4,4,2,4,35.7,3.07,0.703,135232,18392,76.3,973.1,13646,21.6,6,2548.5,212
01-09,SARGENTO JOSÉ FÉLIX LÓPEZ,2025_08,1,0.3404,3,5,5,4,40.1,3.57,0.441,89147,49941,41.2,978.6,6231,47.2,1,2867.6,61
01-09,SARGENTO JOSÉ FÉLIX LÓPEZ,2025_09,4,0.1371,4,4,4,2,34.9,0.3,0.451,156712,44015,76.8,1044.9,14477,12.0,3,96.4,38
01-09,SARGENTO JOSÉ FÉLIX LÓPEZ,2025_10,4,0.8403,2,1,4,3,32.7,5.54,0.54,225285,43565,75.3,1043.1,12502,46.2,5,3599.2,196
01-09,SARGENTO JOSÉ FÉLIX LÓPEZ,2025_11,4,0.8415,1,5,1,2,36.8,7.37,0.748,197760,12346,39.3,951.8,20816,36.2,0,2229.5,179
01-09,SARGENTO JOSÉ FÉLIX LÓPEZ,2025_12,3,0.8679,1,3,1,3,33.0,3.45,0.297,110016,24100,16.6,949.5,12585,32.8,1,2498.4,151
01-09,SARGENTO JOSÉ FÉLIX LÓPEZ,2026_01,2,0.2974,3,4,3,1,40.6,3.72,0.323,145287,21206,8.4,1053.4,19303,20.0,3,3457.8,118
01-09,SARGENTO JOSÉ FÉLIX LÓPEZ,2026_02,3,0.2693,4,4,1,2,33.3,2.87,0.328,185311,39196,3.9,1039.6,13019,19.0,4,4328.0,201
01-09,SARGENTO JOSÉ FÉLIX LÓPEZ,2026_03,1,0.874,4,3,2,5,39.2,1.75,0.264,67700,18427,56.0,1048.4,21229,9.6,6,2215.3,150
01-10,SAN ALFREDO,2025_04,2,0.2071,4,4,5,4,34.2,7.9,0.424,104871,58580,9.9,972.1,21860,30.8,3,3056.2,87
01-10,SAN ALFREDO,2025_05,4,0.5563,2,2,3,2,36.4,0.44,0.749,207821,25286,27.1,948.4,14516,17.6,2,1361.5,75
01-10,SAN ALFREDO,2025_06,4,0.8075,1,1,3,3,35.3,1.49,0.258,19357,15347,73.1,980.0,14619,11.7,4,4840.4,117
01-10,SAN ALFREDO,2025_07,1,0.4696,4,4,5,2,39.6,0.94,0.208,224243,51774,79.5,975.7,8038,30.1,1,2013.2,77
01-10,SAN ALFREDO,2025_08,2,0.3965,1,2,3,2,31.4,7.35,0.598,47831,12105,4.8,959.3,9877,35.9,3,1651.0,154
01-10,SAN ALFREDO,2025_09,1,0.3484,5,5,3,5,38.7,6.05,0.433,62941,12990,62.4,997.6,11858,25.1,5,3633.2,96
01-10,SAN ALFREDO,2025_10,5,0.2668,1,1,3,2,32.6,2.97,0.633,228553,25793,69.6,1045.0,20237,28.4,5,4021.5,60
01-10,SAN ALFREDO,2025_11,4,0.5255,2,4,3,3,38.1,7.18,0.455,32689,4479,58.9,1051.7,6406,38.1,6,2074.3,116
01-10,SAN ALFREDO,2025_12,2,0.5799,1,4,1,3,30.0,7.94,0.327,163478,18868,67.0,950.7,5781,18.7,2,4785.9,166
01-10,SAN ALFREDO,2026_01,3,0.1426,5,4,5,2,28.8,4.63,0.274,127863,18114,77.2,951.3,656,16.6,1,3622.0,159
01-10,SAN ALFREDO,2026_02,5,0.2632,5,1,1,3,40.4,6.25,0.72,179619,48675,55.5,1052.8,16108,47.4,0,2184.2,194
01-10,SAN ALFREDO,2026_03,1,0.7146,4,5,1,2,28.5,5.82,0.663,3607,43325,60.7,1023.6,13813,28.8,0,4023.2,198
01-11,PASO BARRETO,2025_04,2,0.2315,4,2,1,3,39.8,2.94,0.608,152496,30143,71.4,1041.4,20422,32.5,5,2792.6,157
01-11,PASO BARRETO,2025_05,3,0.1246,3,3,3,3,28.1,6.96,0.49,107063,9620,14.2,1016.0,1054,11.7,4,1091.4,109
01-11,PASO BARRETO,2025_06,4,0.3898,3,3,3,5,36.3,7.07,0.243,199770,7022,60.0,972.7,21740,25.0,4,2221.4,71
01-11,PASO BARRETO,2025_07,2,0.7417,1,3,4,1,32.0,5.43,0.442,176884,40925,5.9,987.4,19688,10.2,1,1521.1,56
01-11,PASO BARRETO,2025_08,2,0.7495,3,3,1,1,35.0,3.45,0.228,141613,30661,45.0,1040.0,11655,10.9,6,3715.4,113
01-11,PASO BARRETO,2025_09,1,0.4908,1,3,5,4,36.0,5.68,0.401,32192,53588,3.8,979.0,20304,26.4,5,4600.5,24
01-11,PASO BARRETO,2025_10,4,0.8178,2,4,5,4,35.3,3.17,0.336,91001,29541,30.6,960.2,16777,33.3,4,2559.6,200
01-11,PASO BARRETO,2025_11,3,0.3984,2,2,1,2,31.6,1.39,0.242,201007,10376,17.2,1032.7,16241,26.6,4,3804.2,116
01-11,PASO BARRETO,2025_12,5,0.6465,5,3,3,2,34.2,3.75,0.529,210753,36502,52.9,982.2,2481,20.4,3,207.3,96
01-11,PASO BARRETO,2026_01,3,0.1652,1,5,5,5,33.4,4.64,0.723,195703,5876,40.7,1037.2,21409,15.5,4,2388.6,40
01-11,PASO BARRETO,2026_02,1,0.4829,3,1,5,2,28.5,5.66,0.745,139381,69017,54.4,983.7,9319,23.5,6,1705.1,155
01-11,PASO BARRETO,2026_03,1,0.7708,3,1,3,1,35.8,3.09,0.301,225232,20209,30.7,1009.9,4684,44.7,2,4839.1,180
01-12,ARROYITO,2025_04,3,0.1503,2,3,4,2,31.1,5.93,0.559,5672,1244,43.5,1007.1,2345,30.3,4,4070.7,130
01-12,ARROYITO,2025_05,3,0.4347,4,3,4,3,30.4,4.96,0.311,67434,48568,84.1,985.7,11946,9.7,5,3860.1,148
01-12,ARROYITO,2025_06,2,0.6649,2,4,1,2,32.7,1.04,0.56,212461,35126,78.7,952.4,3673,37.8,0,4462.9,96
01-12,ARROYITO,2025_07,3,0.728,2,3,1,2,33.9,3.27,0.403,171044,67005,4.3,1017.7,18714,41.1,0,3700.1,147
01-12,ARROYITO,2025_08,4,0.3569,1,2,2,4,39.5,1.36,0.323,202717,43086,67.3,1057.4,5157,8.9,2,1367.9,187
01-12,ARROYITO,2025_09,2,0.2192,4,1,3,2,32.2,0.47,0.549,236544,27730,43.1,981.4,23356,18.7,6,616.4,157
01-12,ARROYITO,2025_10,1,0.3849,4,5,2,1,36.7,7.15,0.369,192475,10727,66.3,962.4,11959,14.5,6,3861.2,72
01-12,ARROYITO,2025_11,5,0.4776,4,5,4,1,34.1,5.2,0.551,78145,37437,16.0,989.6,7676,9.5,5,3690.5,119
01-12,ARROYITO,2025_12,5,0.1674,1,1,1,1,29.9,8.0,0.732,139287,1714,34.0,1012.7,9792,45.7,0,580.1,132
01-12,ARROYITO,2026_01,4,0.3613,5,1,1,3,31.6,0.56,0.183,206281,8591,39.8,1023.8,22584,10.9,6,4031.9,147
01-12,ARROYITO,2026_02,2,0.9493,3,5,5,2,28.2,7.66,0.323,234830,35220,9.4,948.8,15071,9.6,6,1387.0,54
